State,Year,Total Number of cases,
Andhra Pradesh,2009,21448,
Arunachal Pradesh,2009,2361,
Assam,2009,6699,
Bihar,2009,11404,
Chhattisgarh,2009,7441,
Goa,2009,2818,
Gujarat,2009,26559,
Haryana,2009,20438,
Himachal Pradesh,2009,3268,
Jammu & Kashmir,2009,4747,
Jharkhand,2009,7931,
Karnataka,2009,28159,
Kerala,2009,8051,
Madhya Pradesh,2009,27382,
Maharashtra,2009,45978,
Manipur,2009,2705,
Meghalaya,2009,2491,
Mizoram,2009,2239,
Nagaland,2009,2523,
Odisha,2009,9128,
Punjab,2009,9214,
Rajasthan,2009,28164,
Sikkim,2009,2069,
Tamil Nadu,2009,14257,
Tripura,2009,2279,
Uttar Pradesh,2009,34095,
Uttarakhand,2009,3624,
West Bengal,2009,10538,
