State,Year,Police Strength,Police Strength-Women,Total
Bihar,2002,"59,115",901,"60,016"
Haryana,2002,"31,927",503,"32,430"
Nagaland,2002,"11,768",825,"12,593"
Jammu & Kashmir,2002,"59,037","1,432","60,469"
Arunachal Pradesh,2002,"5,720",138,"5,858"
Goa,2002,"3,799",268,"4,067"
Karnataka,2002,"52,147","1,569","53,716"
Uttar Pradesh,2002,"156,240","1,900","158,140"
Andhra Pradesh,2002,"76,786","1,300","78,086"
Gujarat,2002,"58,795","1,658","60,453"
Kerala,2002,"43,137",493,"43,630"
Odisha,2002,"35,969",329,"36,298"
Mizoram,2002,"3,877",484,"4,361"
Chandigarh,2002,"3,958",231,"4,189"
Himachal Pradesh,2002,"11,793",633,"12,426"
Uttarakhand,2002,"11,769",280,"12,049"
Punjab,2002,"68,242","1,051","69,293"
Madhya Pradesh,2002,"61,511","2,008","63,519"
Tamil Nadu,2002,"81,198","7,034","88,232"
Rajasthan,2002,55119,1305,"56,424"
Sikkim,2002,"3,110",155,"3,265"
Delhi,2002,"54,783","2,100","56,883"
Chhattisgarh,2002,"12,212",442,"12,654"
Tripura,2002,"16,880",210,"17,090"
Meghalaya,2002,"9,299",135,"9,434"
Maharashtra,2002,"147,448","4,381","151,829"
Assam,2002,"53,314",388,"53,702"
West Bengal,2002,"82,192","1,108","83,300"
Manipur,2002,"14,097",250,"14,347"
Jharkhand,2002,"10,493",95,"10,588"
